Repository,Owner,Clones,Unique Cloners
clinic_api,shmuelhoro-glitch,37,29
desktop-tutorial,shmuelhoro-glitch,0,0
Exercises,shmuelhoro-glitch,87,48
first_github,shmuelhoro-glitch,0,0
git_exercise,shmuelhoro-glitch,48,29
hungman-game,shmuelhoro-glitch,14,7
idf_budget,shmuelhoro-glitch,4,4
image_intel_team_1,shmuelhoro-glitch,2,2
intelligence_task_manager,shmuelhoro-glitch,75,48
javascript_first_lession,shmuelhoro-glitch,9,8
Library_progect,shmuelhoro-glitch,19,15
log_analyzer,shmuelhoro-glitch,4,4
my_image_intel_project,shmuelhoro-glitch,6,6
Project_from_space_fix,shmuelhoro-glitch,4,4
Soldier_duty_management_system,shmuelhoro-glitch,9,6
Space_network,shmuelhoro-glitch,2,2
Space_Network1_Project,shmuelhoro-glitch,5,5
team_task_manager,shmuelhoro-glitch,111,67
week-5,shmuelhoro-glitch,0,0
